Webpage,Preprocessed_Text,Preprocessed_Document
Content,['content'],['content']
Cheap,['cheap'],['cheap']
Flights:,['flights'],['flight']
Flights,['flights'],['flight']
"Tickets,",['tickets'],['ticket']
Airline,['airline'],['airlin']
Search,['search'],['search']
Fly.com,['fly.com'],['flycom']
us,['us'],['us']
Toggle,['toggle'],['toggl']
navigation,['navigation'],['navig']
"Hi,",['hi'],['hi']
"*Hello,",['hello'],['hello']
Signout,['signout'],['signout']
Sign,['sign'],['sign']
"InHello,",['inhello'],['inhello']
Today's,"['today', ""'s""]",['today']
Best,['best'],['best']
Fares,['fares'],['fare']
Fare,['fare'],['fare']
Calendars,['calendars'],['calendar']
Flight,['flight'],['flight']
Destinations,['destinations'],['destin']
Airlines,['airlines'],['airlin']
Deals,['deals'],['deal']
Travel,['travel'],['travel']
Blog,['blog'],['blog']
Hotels,['hotels'],['hotel']
Car,['car'],['car']
Rentals,['rentals'],['rental']
Budget,['budget'],['budget']
Call,['call'],['call']
exclusive,['exclusive'],['exclus']
fares!,['fares'],['fare']
Alert,['alert'],['alert']
Due,['due'],['due']
experiencing,['experiencing'],['experienc']
long,['long'],['long']
call,['call'],['call']
wait,['wait'],['wait']
times.,['times'],['time']
updates,['updates'],['updat']
travel,['travel'],['travel']
restrictions,['restrictions'],['restrict']
click,['click'],['click']
Corona,['corona'],['corona']
virus,['virus'],['viru']
Disease,['disease'],['diseas']
information,['information'],['inform']
Roundtrip,['roundtrip'],['roundtrip']
Oneway,['oneway'],['oneway']
DEPART,['depart'],['depart']
January,['january'],['januari']
RETURN,['return'],['return']
February,['february'],['februari']
TRAVELERS,['travelers'],['travel']
Travelers,['travelers'],['travel']
Adults,['adults'],['adult']
Children,['children'],['children']
Seat,['seat'],['seat']
Infant,['infant'],['infant']
Close,['close'],['close']
Fly,['fly'],['fli']
"Club™,",['club™'],['club']
membership,['membership'],['membership']
savings.,['savings'],['save']
message,['message'],['messag']
found,['found'],['found']
best,['best'],['best']
"bargain...""","['bargain', '...', ""''""]",['bargain']
Find,['find'],['find']
Compare,['compare'],['compar']
prices,['prices'],['price']
airlines,['airlines'],['airlin']
"sites,",['sites'],['site']
including,['including'],['includ']
"Expedia,",['expedia'],['expedia']
"Orbitz,",['orbitz'],['orbitz']
"Travelocity,",['travelocity'],['traveloc']
Priceline,['priceline'],['pricelin']
Major,['major'],['major']
City:,['city'],['citi']
See,['see'],['see']
*Fares,['fares'],['fare']
"roundtrip,",['roundtrip'],['roundtrip']
incl.,['incl'],['incl']
tax.,['tax'],['tax']
Baggage,['baggage'],['baggag']
fees,['fees'],['fee']
may,['may'],['may']
apply.,['apply'],['appli']
Daily,['daily'],['daili']
more.Fly.com,['more.fly.com'],['moreflycom']
one,['one'],['one']
stop,['stop'],['stop']
shop,['shop'],['shop']
find,['find'],['find']
discount,['discount'],['discount']
"flights,",['flights'],['flight']
airline,['airline'],['airlin']
tickets,['tickets'],['ticket']
hotels.,['hotels'],['hotel']
want,['want'],['want']
cheap,['cheap'],['cheap']
airfare,['airfare'],['airfar']
business,['business'],['busi']
vacation,['vacation'],['vacat']
favorite,['favorite'],['favorit']
destination,['destination'],['destin']
deals.,['deals'],['deal']
Join,['join'],['join']
millions,['millions'],['million']
use,['use'],['use']
plane,['plane'],['plane']
"Search,",['search'],['search']
Book,['book'],['book']
"Flights,Hotels","['flights', 'hotels']",['flightshotel']
like,['like'],['like']
thank,['thank'],['thank']
partners,['partners'],['partner']
making,['making'],['make']
possible,['possible'],['possibl']
"Priceline,",['priceline'],['pricelin']
"JustFly,",['justfly'],['justfli']
"HotWire,",['hotwire'],['hotwir']
"Kayak,",['kayak'],['kayak']
American,['american'],['american']
"Airlines,",['airlines'],['airlin']
Jet,['jet'],['jet']
"Blue,",['blue'],['blue']
South,['south'],['south']
"West,",['west'],['west']
United,['united'],['unit']
"Kiwi,",['kiwi'],['kiwi']
"Network,",['network'],['network']
CheapOair,['cheapoair'],['cheapoair']
many,['many'],['mani']
others.,['others'],['other']
Read,['read'],['read']
countless,['countless'],['countless']
expenses,['expenses'],['expens']
trip,['trip'],['trip']
flight,['flight'],['flight']
"tickets,",['tickets'],['ticket']
"accommodation,",['accommodation'],['accommod']
commute,['commute'],['commut']
holding,['holding'],['hold']
back,['back'],['back']
taking,['taking'],['take']
much-needed,['much-needed'],['muchneed']
"break,",['break'],['break']
banish,['banish'],['banish']
worries,['worries'],['worri']
good!,['good'],['good']
Here’s,['’'],['here']
works:,['works'],['work']
compare,['compare'],['compar']
flights,['flights'],['flight']
hundreds,['hundreds'],['hundr']
sites,['sites'],['site']
give,['give'],['give']
"best,",['best'],['best']
options.,['options'],['option']
Planning,['planning'],['plan']
gets,['gets'],['get']
even,['even'],['even']
easier,['easier'],['easier']
fare,['fare'],['fare']
"calendars,",['calendars'],['calendar']
show,['show'],['show']
deals,['deals'],['deal']
next,['next'],['next']
days,['days'],['day']
routes.,['routes'],['rout']
also,['also'],['also']
make,['make'],['make']
sure,['sure'],['sure']
alert,['alert'],['alert']
case,['case'],['case']
cheaper,['cheaper'],['cheaper']
nearby,['nearby'],['nearbi']
airport.,['airport'],['airport']
far,['far'],['far']
accommodation,['accommodation'],['accommod']
"concerned,",['concerned'],['concern']
scour,['scour'],['scour']
websites,['websites'],['websit']
hotel,['hotel'],['hotel']
rooms,['rooms'],['room']
"prices,",['prices'],['price']
ensuring,['ensuring'],['ensur']
get,['get'],['get']
packages,['packages'],['packag']
allow,['allow'],['allow']
maximum,['maximum'],['maximum']
doesn’t,['’'],['nt']
end,['end'],['end']
Rest,['rest'],['rest']
assured,['assured'],['assur']
save,['save'],['save']
curated,['curated'],['curat']
list,['list'],['list']
car,['car'],['car']
rental,['rental'],['rental']
brought,['brought'],['brought']
going,['going'],['go']
scores,['scores'],['score']
relevant,['relevant'],['relev']
websites.,['websites'],['websit']
pack,['pack'],['pack']
bags,['bags'],['bag']
ready,['ready'],['readi']
start,['start'],['start']
flying,['flying'],['fli']
high,['high'],['high']
Fly!,['fly'],['fli']
RECEIVE,['receive'],['receiv']
DEAL,['deal'],['deal']
ALERTS,['alerts'],['alert']
million,['million'],['million']
seasoned,['seasoned'],['season']
travelers,['travelers'],['travel']
using,['using'],['use']
Fly.comevery,['fly.comevery'],['flycomeveri']
month,['month'],['month']
location.,['location'],['locat']
SIGNUP,['signup'],['signup']
Invalid,['invalid'],['invalid']
email,['email'],['email']
format,['format'],['format']
E-mail.,['e-mail'],['email']
Success,['success'],['success']
Thanks,['thanks'],['thank']
"email,",['email'],['email']
add,['add'],['add']
list!,['list'],['list']
BLOGREAD,['blogread'],['blogread']
Coronavirus,['coronavirus'],['coronaviru']
Outbreak:,['outbreak'],['outbreak']
Safety,['safety'],['safeti']
International,['international'],['intern']
Airports,['airports'],['airport']
Bag,['bag'],['bag']
Easter,['easter'],['easter']
Avoiding,['avoiding'],['avoid']
Rip-Offs/Frauds,['rip-offs/frauds'],['ripoffsfraud']
Sites,['sites'],['site']
search,['search'],['search']
cheapest,['cheapest'],['cheapest']
flights.,['flights'],['flight']
Nearby,['nearby'],['nearbi']
Airport,['airport'],['airport']
Savings,['savings'],['save']
